word_freq_free,word_freq_win,word_freq_offer,email_length,num_hyperlinks,sender_domain,is_spam
0.29,0.02,0.09,76,1,newsletter71@gmail.com,1
0.2,0.18,0.04,435,0,promo63@bank.com,0
0.06,0.24,0.11,140,2,promo31@bank.com,0
0.15,0.23,0.23,868,4,promo75@yahoo.com,0
0.07,0.0,0.05,267,5,alerts8@scammy.net,1
0.06,0.06,0.08,473,0,alerts90@bank.com,0
0.12,0.04,0.02,251,4,friend72@shopnow.com,0
0.01,0.07,0.21,675,4,random17@bank.com,0
0.08,0.26,0.2,887,3,random42@spam.com,1
0.04,0.25,0.23,938,4,boss77@gmail.com,1
0.19,0.23,0.14,714,1,random15@spam.com,1
0.1,0.06,0.02,279,1,fake25@company.com,0
0.13,0.25,0.22,870,5,promo96@scammy.net,0
0.29,0.26,0.21,948,1,promo88@spam.com,0
0.06,0.08,0.27,661,3,boss91@scammy.net,1
0.15,0.26,0.08,462,4,friend40@scammy.net,0
0.04,0.02,0.25,410,2,promo69@gmail.com,1
0.12,0.29,0.28,913,1,boss15@yahoo.com,1
0.13,0.18,0.01,202,0,alerts59@shopnow.com,1
0.1,0.23,0.15,183,4,promo70@bank.com,0
0.11,0.13,0.08,323,0,random96@yahoo.com,0
0.15,0.15,0.11,533,4,newsletter55@spam.com,1
0.27,0.25,0.15,727,2,friend28@bank.com,0
0.2,0.13,0.07,713,4,promo50@shopnow.com,0
0.05,0.11,0.2,234,2,friend18@company.com,0
0.05,0.23,0.08,69,3,newsletter69@yahoo.com,0
0.26,0.29,0.21,804,2,random40@scammy.net,0
0.18,0.05,0.01,574,1,fake25@gmail.com,1
0.24,0.28,0.11,700,2,boss55@company.com,1
0.29,0.03,0.08,190,1,boss61@gmail.com,1
0.11,0.29,0.23,406,0,newsletter72@shopnow.com,0
0.26,0.22,0.15,473,0,boss7@shopnow.com,0
0.16,0.2,0.22,189,4,friend86@scammy.net,0
0.01,0.17,0.18,401,4,newsletter30@scammy.net,0
0.01,0.19,0.1,525,0,alerts71@bank.com,1
0.22,0.11,0.04,426,2,boss78@gmail.com,1
0.17,0.26,0.27,67,3,newsletter70@company.com,1
0.12,0.23,0.05,476,5,fake57@shopnow.com,1
0.27,0.23,0.15,626,4,newsletter89@gmail.com,0
0.14,0.18,0.23,313,1,boss47@yahoo.com,0
0.02,0.14,0.03,600,0,fake4@shopnow.com,0
0.14,0.12,0.23,430,3,friend57@gmail.com,0
0.19,0.15,0.25,141,4,newsletter88@spam.com,0
0.23,0.23,0.22,527,0,newsletter79@spam.com,1
0.0,0.03,0.23,366,4,alerts83@scammy.net,0
0.2,0.27,0.21,279,4,alerts27@bank.com,0
0.11,0.11,0.2,307,3,friend96@shopnow.com,0
0.02,0.29,0.03,806,2,promo93@company.com,0
0.09,0.04,0.29,578,2,promo60@spam.com,0
0.03,0.29,0.23,727,4,boss89@scammy.net,1
0.28,0.05,0.27,877,4,promo72@company.com,0
0.29,0.05,0.03,58,4,boss30@company.com,0
0.18,0.14,0.29,370,4,boss10@company.com,1
